locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name,ID
SL1344_2061,2,-0.59293,4.2e-05,1.0,d1,cpsB2,gene-SL1344_2061
SL1344_0476,1,-0.22056,4.2e-05,1.0,d1,apt,gene-SL1344_0476
SL1344_0544,1,-0.21943,4.2e-05,1.0,d1,SL1344_0544,gene-SL1344_0544
SL1344_3884,1,-0.20085,1.0,0.888619,d1,rffA,gene-SL1344_3884
SL1344_P1_0023,1,-0.20019,1.0,0.888619,d1,SL1344_P1_0023,gene-SL1344_P1_0023
SL1344_2035,1,-0.1651,1.0,0.888619,d1,yeeX,gene-SL1344_2035
SL1344_3422,1,-0.17122,1.0,0.888619,d1,slyD,gene-SL1344_3422
SL1344_2937,1,-0.14,1.0,0.676149,d1,relA,gene-SL1344_2937
SL1344_P2_0083,1,-0.12563,1.0,0.676149,d1,shfC,gene-SL1344_P2_0083
SL1344_4486,1,-0.11657,1.0,0.676149,d1,rimI,gene-SL1344_4486
SL1344_P2_0076,1,-0.11703,1.0,0.676149,d1,traH,gene-SL1344_P2_0076
SL1344_3499,1,-0.1108,1.0,0.676149,d1,SL1344_3499,gene-SL1344_3499
SL1344_0741,1,-0.10496,1.0,0.676149,d1,SL1344_0741,gene-SL1344_0741
SL1344_1709,2,-0.23375,4.2e-05,0.934141,d1,ychM,gene-SL1344_1709
SL1344_0545,2,-0.20474,4.2e-05,0.719516,d1,fimW,gene-SL1344_0545
SL1344_3473,1,-0.10431,1.0,0.676149,d1,feoB,gene-SL1344_3473
SL1344_3086,1,-0.08037,1.0,0.676149,d1,yggX,gene-SL1344_3086
SL1344_1332,1,-0.068593,1.0,0.676149,d1,sseBa,gene-SL1344_1332
SL1344_0693,1,-0.07065,1.0,0.676149,d1,ybgJ,gene-SL1344_0693
SL1344_3874,1,-0.063713,1.0,0.676149,d1,rhlB,gene-SL1344_3874
SL1344_P1_0013,1,-0.064855,1.0,0.676149,d1,traQ,gene-SL1344_P1_0013
SL1344_0318,2,-0.19572,4.2e-05,0.719516,d1,proA,gene-SL1344_0318
SL1344_0247,1,-0.052197,1.0,0.676149,d1,yaeE,gene-SL1344_0247
SL1344_1136,1,-0.054494,1.0,0.676149,d1,yceG,gene-SL1344_1136
SL1344_4200,2,0.01286,4.2e-05,7e-06,d1,yjcC,gene-SL1344_4200
SL1344_1960,1,-0.039995,1.0,0.676149,d1,SL1344_1960,gene-SL1344_1960
SL1344_P1_0036,3,0.045815,4.2e-05,7e-06,d1,SL1344_P1_0036,gene-SL1344_P1_0036
SL1344_1930,1,-0.036874,1.0,0.470389,d1,SL1344_1930,gene-SL1344_1930
SL1344_1621,1,-0.016843,1.0,0.470389,d1,pspF,gene-SL1344_1621
SL1344_3229,1,-0.03976,1.0,0.470389,d1,SL1344_3229,gene-SL1344_3229
SL1344_P2_0095,3,-0.20887,4.2e-05,0.575131,d1,pilL,gene-SL1344_P2_0095
SL1344_0511,1,-0.037593,1.0,0.470389,d1,gip,gene-SL1344_0511
SL1344_3847,1,-0.014874,1.0,0.470389,d1,kup,gene-SL1344_3847
SL1344_P2_0055,2,-0.28731,4.2e-05,1.0,d1,exc,gene-SL1344_P2_0055
SL1344_P2_0009,2,-0.25565,4.2e-05,1.0,d1,yafA,gene-SL1344_P2_0009
SL1344_P1_0016,1,-0.028658,1.0,0.470389,d1,traN,gene-SL1344_P1_0016
SL1344_0744,1,-0.021819,1.0,0.470389,d1,dcoA,gene-SL1344_0744
SL1344_3630,1,-0.016672,1.0,0.470389,d1,avtA,gene-SL1344_3630
SL1344_1619,1,-0.016395,1.0,0.470389,d1,pspB,gene-SL1344_1619
SL1344_0115,4,0.30069,4.2e-05,7e-06,d1,leuO,gene-SL1344_0115
SL1344_1824,1,-0.01422,1.0,0.470389,d1,yebA,gene-SL1344_1824
SL1344_0253,1,-0.01049,1.0,0.470389,d1,yafD,gene-SL1344_0253
SL1344_P1_0014,2,-0.10845,4.2e-05,0.719516,d1,traF,gene-SL1344_P1_0014
SL1344_3230,1,0.0029988,1.0,0.470389,d1,SL1344_3230,gene-SL1344_3230
SL1344_1794,1,0.0052183,1.0,0.470389,d1,SL1344_1794,gene-SL1344_1794
SL1344_1081,1,0.0078901,1.0,0.470389,d1,csgA,gene-SL1344_1081
SL1344_2440,1,0.0087992,1.0,0.470389,d1,yffH,gene-SL1344_2440
SL1344_P2_0012,4,-0.14697,4.2e-05,0.676149,d1,cib,gene-SL1344_P2_0012
SL1344_1203,1,0.011765,1.0,0.470389,d1,SL1344_1203,gene-SL1344_1203
SL1344_2079,1,0.012853,1.0,0.470389,d1,wzx,gene-SL1344_2079
SL1344_P2_0090,2,-0.068747,1.0,0.440589,d1,pilQ,gene-SL1344_P2_0090
SL1344_P1_0010,1,0.014005,1.0,0.470389,d1,traG,gene-SL1344_P1_0010
SL1344_2220,1,0.018379,1.0,0.470389,d1,SL1344_2220,gene-SL1344_2220
SL1344_P2_0035,1,0.018976,1.0,0.470389,d1,ssb,gene-SL1344_P2_0035
SL1344_1472,1,0.022904,1.0,0.470389,d1,SL1344_1472,gene-SL1344_1472
SL1344_0737,1,0.025511,1.0,0.470389,d1,aroG,gene-SL1344_0737
SL1344_P1_0068,2,-0.027754,1.0,0.440589,d1,spvB,gene-SL1344_P1_0068
SL1344_P1_0094,1,0.031748,1.0,0.25415,d1,srgA,gene-SL1344_P1_0094
SL1344_P1_0063,1,0.032301,1.0,0.25415,d1,rlgA2,gene-SL1344_P1_0063
SL1344_2214,1,0.033039,1.0,0.25415,d1,SL1344_2214,gene-SL1344_2214
SL1344_P1_0066,3,-0.092375,4.2e-05,1.0,d1,spvR,gene-SL1344_P1_0066
SL1344_2849,1,0.042974,1.0,0.25415,d1,orgB,gene-SL1344_2849
SL1344_1598,2,0.071974,1.0,7e-06,d1,SL1344_1598,gene-SL1344_1598
SL1344_0419,1,0.043705,1.0,0.25415,d1,thiI,gene-SL1344_0419
SL1344_P1_0031,1,0.043697,1.0,0.25415,d1,traL,gene-SL1344_P1_0031
SL1344_1346,2,0.15078,1.0,7e-06,d1,ssaL,gene-SL1344_1346
SL1344_P3_0013,6,-0.51073,4.2e-05,1.0,d1,strB,gene-SL1344_P3_0013
SL1344_P2_0089,2,-0.079788,1.0,0.719516,d1,pilR,gene-SL1344_P2_0089
SL1344_3636,1,0.051437,1.0,0.25415,d1,yiaM,gene-SL1344_3636
SL1344_0270,1,0.051515,1.0,0.25415,d1,sciJ,gene-SL1344_0270
SL1344_1342,1,0.054383,1.0,0.25415,d1,ssaI,gene-SL1344_1342
SL1344_2864,1,0.052689,1.0,0.25415,d1,sipB,gene-SL1344_2864
SL1344_0109,1,0.054223,1.0,0.25415,d1,yabN,gene-SL1344_0109
SL1344_3224,1,0.056758,1.0,0.25415,d1,SL1344_3224,gene-SL1344_3224
SL1344_4156,1,0.058673,1.0,0.25415,d1,lysC,gene-SL1344_4156
SL1344_1349,1,0.062844,1.0,0.25415,d1,ssaN,gene-SL1344_1349
SL1344_2792,1,0.062718,1.0,0.25415,d1,nrdE,gene-SL1344_2792
SL1344_1110,1,0.065134,1.0,0.25415,d1,flgA,gene-SL1344_1110
SL1344_2218,2,0.068393,1.0,7e-06,d1,SL1344_2218,gene-SL1344_2218
SL1344_0712,1,0.067007,1.0,0.25415,d1,gltA,gene-SL1344_0712
SL1344_P2_0049,1,0.06664,1.0,0.25415,d1,nikB,gene-SL1344_P2_0049
SL1344_1519,2,0.008467,1.0,0.440589,d1,yncC,gene-SL1344_1519
SL1344_P2_0102,2,-0.062611,1.0,0.719516,d1,traB,gene-SL1344_P2_0102
SL1344_2433,1,0.073274,1.0,0.25415,d1,eutS,gene-SL1344_2433
SL1344_P2_0078,3,-0.021557,4.2e-05,0.575131,d1,traF,gene-SL1344_P2_0078
SL1344_1778,1,0.076601,1.0,0.25415,d1,SL1344_1778,gene-SL1344_1778
SL1344_1531,2,0.018983,1.0,0.440589,d1,ugtL,gene-SL1344_1531
SL1344_1538,1,0.076625,1.0,0.25415,d1,tehB,gene-SL1344_1538
SL1344_3228,1,0.078006,1.0,0.25415,d1,SL1344_3228,gene-SL1344_3228
SL1344_P1_0032,3,-0.14756,4.2e-05,1.0,d1,traA,gene-SL1344_P1_0032
SL1344_1048,1,0.083761,1.0,0.25415,d1,SL1344_1048,gene-SL1344_1048
SL1344_1795,1,0.088105,1.0,0.25415,d1,SL1344_1795,gene-SL1344_1795
SL1344_0369,1,0.08859,1.0,0.25415,d1,yaiV,gene-SL1344_0369
SL1344_2022,2,0.060102,1.0,0.440589,d1,pduK,gene-SL1344_2022
SL1344_0982,1,0.090125,1.0,0.25415,d1,SL1344_0982,gene-SL1344_0982
SL1344_0861,1,0.093702,1.0,0.25415,d1,SL1344_0861,gene-SL1344_0861
SL1344_1179,1,0.094512,1.0,0.25415,d1,envF,gene-SL1344_1179
SL1344_P1_0033,1,0.09482,1.0,0.25415,d1,traY,gene-SL1344_P1_0033
SL1344_0599,1,0.095598,1.0,0.25415,d1,SL1344_0599,gene-SL1344_0599
SL1344_1316,2,0.017906,1.0,0.440589,d1,orf408,gene-SL1344_1316
SL1344_P2_0088,3,0.026959,1.0,0.575131,d1,pilS,gene-SL1344_P2_0088
SL1344_1616,1,0.097691,1.0,0.25415,d1,pspE,gene-SL1344_1616
SL1344_1594,1,0.099767,1.0,0.25415,d1,ynaI,gene-SL1344_1594
SL1344_1628,2,-0.025843,1.0,0.719516,d1,steC,gene-SL1344_1628
SL1344_3505,1,0.098925,1.0,0.25415,d1,glgB,gene-SL1344_3505
SL1344_2956,1,0.101,1.0,0.25415,d1,fucI,gene-SL1344_2956
SL1344_1928,1,0.10336,1.0,0.25415,d1,sseK3,gene-SL1344_1928
SL1344_P1_0009,1,0.10405,1.0,0.25415,d1,traS,gene-SL1344_P1_0009
SL1344_1348,2,0.16988,1.0,7e-06,d1,ssaV,gene-SL1344_1348
SL1344_4468,5,-0.37251,4.2e-05,1.0,d1,SL1344_4468,gene-SL1344_4468
SL1344_0521,1,0.10489,1.0,0.25415,d1,allD,gene-SL1344_0521
SL1344_2599,1,0.10656,1.0,0.25415,d1,SL1344_2599,gene-SL1344_2599
SL1344_0704,1,0.10715,1.0,0.25415,d1,SL1344_0704,gene-SL1344_0704
SL1344_0338,2,0.26223,1.0,7e-06,d1,SL1344_0338,gene-SL1344_0338
SL1344_3501,1,0.10581,1.0,0.25415,d1,glgP,gene-SL1344_3501
SL1344_2137,1,0.11031,1.0,0.25415,d1,yehU,gene-SL1344_2137
SL1344_0496,2,0.12377,1.0,7e-06,d1,ybbM,gene-SL1344_0496
SL1344_2165,1,0.11058,1.0,0.25415,d1,mglC,gene-SL1344_2165
SL1344_3880,1,0.1096,1.0,0.25415,d1,rffD,gene-SL1344_3880
SL1344_2087,3,0.1063,1.0,7e-06,d1,wcaF,gene-SL1344_2087
SL1344_1894,1,0.11289,1.0,0.25415,d1,yedE,gene-SL1344_1894
SL1344_3029,1,0.11049,1.0,0.25415,d1,gcvP,gene-SL1344_3029
SL1344_4216,1,0.11197,1.0,0.25415,d1,nrfD,gene-SL1344_4216
SL1344_1639,1,0.11624,1.0,0.25415,d1,pyrF,gene-SL1344_1639
SL1344_2384,2,0.043733,1.0,0.440589,d1,xapB,gene-SL1344_2384
SL1344_0952,1,0.11378,1.0,0.25415,d1,SL1344_0952,gene-SL1344_0952
SL1344_1351,1,0.11455,1.0,0.25415,d1,ssaP,gene-SL1344_1351
SL1344_2880,2,0.27421,1.0,7e-06,d1,SL1344_2880,gene-SL1344_2880
SL1344_P2_0085,3,0.018692,1.0,0.575131,d1,pilV,gene-SL1344_P2_0085
