locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name,ID
SL1344_3799,11,0.4061,1.0,7e-06,d1,SL1344_3799,gene-SL1344_3799
SL1344_2847,2,1.0211,1.0,7e-06,d1,hilC,gene-SL1344_2847
SL1344_2855,3,1.0991,1.0,7e-06,d1,hilD,gene-SL1344_2855
SL1344_3688,2,-9.3745,5.3e-05,1.0,d2,rfaG,gene-SL1344_3688
SL1344_3685,4,-1.5788,5.3e-05,1.0,d2,rfaB,gene-SL1344_3685
SL1344_3684,2,-8.2462,5.3e-05,1.0,d2,rfaI,gene-SL1344_3684
SL1344_3687,2,-5.5241,5.3e-05,1.0,d2,rfaP,gene-SL1344_3687
SL1344_2067,2,-4.24,5.3e-05,1.0,d2,rfbH,gene-SL1344_2067
SL1344_P3_0008,8,-0.44212,5.3e-05,6e-06,d2,mobA,gene-SL1344_P3_0008
SL1344_2059,2,-3.8712,5.3e-05,1.0,d2,rfbP,gene-SL1344_2059
SL1344_3679,2,-3.2229,5.3e-05,1.0,d2,rfaL,gene-SL1344_3679
SL1344_2061,2,-1.7083,5.3e-05,1.0,d2,cpsB2,gene-SL1344_2061
SL1344_3562,2,-1.5729,5.3e-05,1.0,d2,gor,gene-SL1344_3562
SL1344_2395,1,-6.8667,5.3e-05,1.0,d2,ptsI,gene-SL1344_2395
SL1344_2072,1,-4.3627,5.3e-05,1.0,d2,rfbA,gene-SL1344_2072
SL1344_2854,1,-5.195,5.3e-05,1.0,d2,prgH,gene-SL1344_2854
SL1344_4407,1,-5.0391,5.3e-05,1.0,d2,pepA,gene-SL1344_4407
SL1344_1834,1,-4.8508,5.3e-05,1.0,d2,yebC,gene-SL1344_1834
SL1344_2065,1,-4.6291,5.3e-05,1.0,d2,rfbX,gene-SL1344_2065
SL1344_3500,1,-5.0054,5.3e-05,1.0,d2,SL1344_3500,gene-SL1344_3500
SL1344_3677,1,-4.6422,5.3e-05,1.0,d2,rfaF,gene-SL1344_3677
SL1344_3020,1,-4.026,5.3e-05,1.0,d2,xerD,gene-SL1344_3020
SL1344_3678,1,-3.8102,5.3e-05,1.0,d2,rfaC,gene-SL1344_3678
SL1344_2837,1,-3.8865,5.3e-05,1.0,d2,hypD,gene-SL1344_2837
SL1344_2064,1,-3.753,5.3e-05,1.0,d2,rfbV,gene-SL1344_2064
SL1344_2073,1,-2.7641,5.3e-05,1.0,d2,rfbD,gene-SL1344_2073
SL1344_0779,1,-2.6245,5.3e-05,1.0,d2,moaB,gene-SL1344_0779
SL1344_0915,1,-2.5127,5.3e-05,1.0,d2,aroA,gene-SL1344_0915
SL1344_4017,1,-2.4367,5.3e-05,1.0,d2,SL1344_4017,gene-SL1344_4017
SL1344_4007,1,-2.3416,5.3e-05,1.0,d2,cpxA,gene-SL1344_4007
SL1344_4238,1,-1.9415,5.3e-05,1.0,d2,dcuB,gene-SL1344_4238
SL1344_P3_0014,1,-2.0414,5.3e-05,1.0,d2,aph(3'')-Ib,gene-SL1344_P3_0014
SL1344_1712,1,-2.0117,5.3e-05,1.0,d2,ychF,gene-SL1344_1712
SL1344_1622,1,-1.7138,5.3e-05,1.0,d2,sapA,gene-SL1344_1622
SL1344_3689,1,-1.6858,5.3e-05,1.0,d2,rfaQ,gene-SL1344_3689
SL1344_2070,1,-1.6495,5.3e-05,1.0,d2,rfbI,gene-SL1344_2070
SL1344_P3_0004,1,-1.5291,5.3e-05,1.0,d2,repA,gene-SL1344_P3_0004
SL1344_1176,1,-1.652,5.3e-05,1.0,d2,icdA,gene-SL1344_1176
SL1344_4157,1,-1.3796,5.3e-05,1.0,d2,pgi,gene-SL1344_4157
SL1344_P3_0006,1,-1.2949,5.3e-05,1.0,d2,SL1344_P3_0006,gene-SL1344_P3_0006
SL1344_3884,1,-1.2825,5.3e-05,1.0,d2,rffA,gene-SL1344_3884
SL1344_3070,1,-1.2433,5.3e-05,1.0,d2,gshB,gene-SL1344_3070
SL1344_3905,1,-0.8826,5.3e-05,1.0,d2,uvrD,gene-SL1344_3905
SL1344_4389,1,-0.86827,5.3e-05,1.0,d2,yjgF,gene-SL1344_4389
SL1344_4314,1,-0.81952,5.3e-05,1.0,d2,yjfQ,gene-SL1344_4314
SL1344_0392,1,-0.77883,5.3e-05,1.0,d2,phoB,gene-SL1344_0392
SL1344_4300,1,-0.63596,5.3e-05,1.0,d2,nsrR,gene-SL1344_4300
SL1344_4183,1,-0.58571,5.3e-05,1.0,d2,alr-b,gene-SL1344_4183
SL1344_3499,1,-0.5778,5.3e-05,1.0,d2,SL1344_3499,gene-SL1344_3499
SL1344_2179,1,-0.55893,5.3e-05,1.0,d2,yeiH,gene-SL1344_2179
SL1344_2146,1,-0.5048,5.3e-05,1.0,d2,pbpG,gene-SL1344_2146
SL1344_1388,1,-0.51411,5.3e-05,1.0,d2,rnfD,gene-SL1344_1388
SL1344_4467,1,-0.48367,5.3e-05,1.0,d2,SL1344_4467,gene-SL1344_4467
SL1344_1599,1,-0.43893,5.3e-05,1.0,d2,SL1344_1599,gene-SL1344_1599
SL1344_0544,1,-0.4302,5.3e-05,1.0,d2,SL1344_0544,gene-SL1344_0544
SL1344_0846,1,-0.42461,5.3e-05,1.0,d2,SL1344_0846,gene-SL1344_0846
SL1344_2881,1,-0.41321,5.3e-05,1.0,d2,SL1344_2881,gene-SL1344_2881
SL1344_3880,1,-0.39273,5.3e-05,1.0,d2,rffD,gene-SL1344_3880
SL1344_3853,1,-0.37361,5.3e-05,1.0,d2,rbsR,gene-SL1344_3853
SL1344_4362,1,-0.19867,5.3e-05,1.0,d2,iolD,gene-SL1344_4362
SL1344_2852,1,-0.33714,5.3e-05,1.0,d2,prgJ,gene-SL1344_2852
SL1344_4240,1,-0.31886,5.3e-05,1.0,d2,dcuR,gene-SL1344_4240
SL1344_0253,1,-0.30456,5.3e-05,1.0,d2,yafD,gene-SL1344_0253
SL1344_1824,1,-0.26963,5.3e-05,1.0,d2,yebA,gene-SL1344_1824
SL1344_2161,1,-0.25916,5.3e-05,1.0,d2,sanA,gene-SL1344_2161
SL1344_1567,4,0.085045,5.3e-05,6e-06,d2,SL1344_1567,gene-SL1344_1567
SL1344_0866,1,-0.24638,5.3e-05,1.0,d2,artI,gene-SL1344_0866
SL1344_4239,1,-0.24126,1.0,0.875461,d2,SL1344_4239,gene-SL1344_4239
SL1344_4486,1,-0.22701,1.0,0.875461,d2,rimI,gene-SL1344_4486
SL1344_3766,1,-0.22364,1.0,0.875461,d2,emrD,gene-SL1344_3766
SL1344_3682,1,-0.20901,1.0,0.875461,d2,rfaY,gene-SL1344_3682
SL1344_0040,1,-0.16197,1.0,0.875461,d2,nhaA,gene-SL1344_0040
SL1344_3086,1,-0.11017,1.0,0.875461,d2,yggX,gene-SL1344_3086
SL1344_3422,1,-0.10531,1.0,0.875461,d2,slyD,gene-SL1344_3422
SL1344_1621,1,-0.089264,1.0,0.875461,d2,pspF,gene-SL1344_1621
SL1344_2937,1,-0.098925,1.0,0.875461,d2,relA,gene-SL1344_2937
SL1344_4200,2,-0.25556,5.3e-05,6e-06,d2,yjcC,gene-SL1344_4200
SL1344_1332,1,-0.065213,1.0,0.875461,d2,sseBa,gene-SL1344_1332
SL1344_4241,2,-0.57973,5.3e-05,1.0,d2,dcuS,gene-SL1344_4241
SL1344_3666,1,-0.049533,1.0,0.875461,d2,gpsA,gene-SL1344_3666
SL1344_1136,1,-0.053277,1.0,0.875461,d2,yceG,gene-SL1344_1136
SL1344_2035,1,-0.046633,1.0,0.875461,d2,yeeX,gene-SL1344_2035
SL1344_1794,1,-0.03487,1.0,0.66831,d2,SL1344_1794,gene-SL1344_1794
SL1344_0476,1,-0.014677,1.0,0.447109,d2,apt,gene-SL1344_0476
SL1344_0247,1,-0.0077945,1.0,0.447109,d2,yaeE,gene-SL1344_0247
SL1344_0545,2,-0.18761,5.3e-05,0.413708,d2,fimW,gene-SL1344_0545
SL1344_P1_0020,1,0.0063871,1.0,0.447109,d2,traW,gene-SL1344_P1_0020
SL1344_1709,2,-0.38214,5.3e-05,1.0,d2,ychM,gene-SL1344_1709
SL1344_2849,1,0.0097921,1.0,0.447109,d2,orgB,gene-SL1344_2849
SL1344_3630,1,0.0098593,1.0,0.447109,d2,avtA,gene-SL1344_3630
SL1344_1203,1,0.015353,1.0,0.447109,d2,SL1344_1203,gene-SL1344_1203
SL1344_1048,1,0.016583,1.0,0.447109,d2,SL1344_1048,gene-SL1344_1048
SL1344_3874,1,0.023498,1.0,0.447109,d2,rhlB,gene-SL1344_3874
SL1344_2657,1,0.030893,1.0,0.447109,d2,smpA,gene-SL1344_2657
SL1344_0084,1,0.043161,1.0,0.447109,d2,SL1344_0084,gene-SL1344_0084
SL1344_1565,1,0.045186,1.0,0.447109,d2,SL1344_1565,gene-SL1344_1565
SL1344_3229,1,0.045215,1.0,0.447109,d2,SL1344_3229,gene-SL1344_3229
SL1344_0693,1,0.048275,1.0,0.447109,d2,ybgJ,gene-SL1344_0693
SL1344_0270,1,0.050951,1.0,0.447109,d2,sciJ,gene-SL1344_0270
SL1344_0982,1,0.053017,1.0,0.447109,d2,SL1344_0982,gene-SL1344_0982
SL1344_1960,1,0.068472,1.0,0.232365,d2,SL1344_1960,gene-SL1344_1960
SL1344_0265,1,0.07458,1.0,0.232365,d2,sciF,gene-SL1344_0265
SL1344_1351,1,0.074615,1.0,0.232365,d2,ssaP,gene-SL1344_1351
SL1344_0744,1,0.074523,1.0,0.232365,d2,dcoA,gene-SL1344_0744
SL1344_P2_0076,1,0.080172,1.0,0.232365,d2,traH,gene-SL1344_P2_0076
SL1344_0511,1,0.080101,1.0,0.232365,d2,gip,gene-SL1344_0511
SL1344_1594,1,0.083962,1.0,0.232365,d2,ynaI,gene-SL1344_1594
SL1344_0861,1,0.086297,1.0,0.232365,d2,SL1344_0861,gene-SL1344_0861
SL1344_2079,1,0.089636,1.0,0.232365,d2,wzx,gene-SL1344_2079
SL1344_4156,1,0.095656,1.0,0.232365,d2,lysC,gene-SL1344_4156
SL1344_1346,2,0.19639,1.0,6e-06,d2,ssaL,gene-SL1344_1346
SL1344_4216,1,0.10642,1.0,0.232365,d2,nrfD,gene-SL1344_4216
SL1344_2674,1,0.11235,1.0,0.232365,d2,sopE,gene-SL1344_2674
SL1344_P1_0013,1,0.113,1.0,0.232365,d2,traQ,gene-SL1344_P1_0013
SL1344_P2_0055,2,-0.097619,1.0,1.0,d2,exc,gene-SL1344_P2_0055
SL1344_2022,2,0.046591,1.0,6e-06,d2,pduK,gene-SL1344_2022
SL1344_0741,1,0.12636,1.0,0.232365,d2,SL1344_0741,gene-SL1344_0741
SL1344_P2_0096,1,0.12668,1.0,0.232365,d2,pilK,gene-SL1344_P2_0096
SL1344_4394,1,0.1272,1.0,0.232365,d2,SL1344_4394,gene-SL1344_4394
SL1344_2792,1,0.13292,1.0,0.232365,d2,nrdE,gene-SL1344_2792
SL1344_0109,1,0.1368,1.0,0.232365,d2,yabN,gene-SL1344_0109
SL1344_0704,1,0.13844,1.0,0.232365,d2,SL1344_0704,gene-SL1344_0704
SL1344_2440,1,0.13838,1.0,0.232365,d2,yffH,gene-SL1344_2440
SL1344_2214,1,0.14108,1.0,0.232365,d2,SL1344_2214,gene-SL1344_2214
SL1344_0318,2,0.051901,1.0,0.413708,d2,proA,gene-SL1344_0318
SL1344_0521,1,0.14444,1.0,0.232365,d2,allD,gene-SL1344_0521
SL1344_3001,1,0.14854,1.0,0.232365,d2,yohL,gene-SL1344_3001
SL1344_1894,1,0.14924,1.0,0.232365,d2,yedE,gene-SL1344_1894
SL1344_0952,1,0.15025,1.0,0.232365,d2,SL1344_0952,gene-SL1344_0952
SL1344_1110,1,0.15139,1.0,0.232365,d2,flgA,gene-SL1344_1110
SL1344_0737,1,0.15954,1.0,0.232365,d2,aroG,gene-SL1344_0737
SL1344_P2_0083,1,0.16087,1.0,0.232365,d2,shfC,gene-SL1344_P2_0083
SL1344_0338,2,0.31098,1.0,6e-06,d2,SL1344_0338,gene-SL1344_0338
SL1344_0273,1,0.16944,1.0,0.232365,d2,SL1344_0273,gene-SL1344_0273
SL1344_2181,1,0.17151,1.0,0.232365,d2,fruA,gene-SL1344_2181
SL1344_3029,1,0.17182,1.0,0.232365,d2,gcvP,gene-SL1344_3029
SL1344_P1_0023,1,0.17273,1.0,0.232365,d2,SL1344_P1_0023,gene-SL1344_P1_0023
SL1344_2880,2,0.40146,1.0,6e-06,d2,SL1344_2880,gene-SL1344_2880
SL1344_2192,1,0.17588,1.0,0.232365,d2,rtn,gene-SL1344_2192
SL1344_1930,1,0.177,1.0,0.232365,d2,SL1344_1930,gene-SL1344_1930
SL1344_0341,2,0.39667,1.0,6e-06,d2,SL1344_0341,gene-SL1344_0341
SL1344_1538,1,0.17749,1.0,0.232365,d2,tehB,gene-SL1344_1538
SL1344_1754,1,0.17838,1.0,0.232365,d2,yeaB,gene-SL1344_1754
SL1344_P1_0087,1,0.17881,1.0,0.232365,d2,pefA,gene-SL1344_P1_0087
SL1344_1520,1,0.1804,1.0,0.232365,d2,yncB,gene-SL1344_1520
SL1344_3501,1,0.18115,1.0,0.232365,d2,glgP,gene-SL1344_3501
SL1344_3230,1,0.18336,1.0,0.232365,d2,SL1344_3230,gene-SL1344_3230
SL1344_3505,1,0.18527,1.0,0.232365,d2,glgB,gene-SL1344_3505
SL1344_1344,1,0.18953,1.0,0.232365,d2,SL1344_1344,gene-SL1344_1344
SL1344_2794,1,0.19143,1.0,0.232365,d2,proV,gene-SL1344_2794
SL1344_P1_0036,3,0.44396,1.0,6e-06,d2,SL1344_P1_0036,gene-SL1344_P1_0036
SL1344_1179,1,0.19428,1.0,0.232365,d2,envF,gene-SL1344_1179
SL1344_4027,3,-0.0018159,1.0,0.552593,d2,yneB,gene-SL1344_4027
SL1344_2599,1,0.19404,1.0,0.232365,d2,SL1344_2599,gene-SL1344_2599
SL1344_P3_0013,6,-0.02772,5.3e-05,0.825659,d2,strB,gene-SL1344_P3_0013
SL1344_1531,2,0.12248,1.0,6e-06,d2,ugtL,gene-SL1344_1531
SL1344_1619,1,0.19618,1.0,6e-06,d2,pspB,gene-SL1344_1619
SL1344_0496,2,0.25903,1.0,6e-06,d2,ybbM,gene-SL1344_0496
SL1344_2137,1,0.19762,1.0,6e-06,d2,yehU,gene-SL1344_2137
SL1344_1778,1,0.20004,1.0,6e-06,d2,SL1344_1778,gene-SL1344_1778
SL1344_P2_0095,3,0.25054,1.0,6e-06,d2,pilL,gene-SL1344_P2_0095
SL1344_2715,1,0.20119,1.0,6e-06,d2,SL1344_2715,gene-SL1344_2715
SL1344_1169,1,0.20157,1.0,6e-06,d2,phoP,gene-SL1344_1169
SL1344_0776,1,0.20257,1.0,6e-06,d2,slrP,gene-SL1344_0776
SL1344_1081,1,0.2029,1.0,6e-06,d2,csgA,gene-SL1344_1081
SL1344_1342,1,0.20494,1.0,6e-06,d2,ssaI,gene-SL1344_1342
SL1344_1067,1,0.21033,1.0,6e-06,d2,SL1344_1067,gene-SL1344_1067
SL1344_1725,1,0.21126,1.0,6e-06,d2,ymgE,gene-SL1344_1725
SL1344_1928,1,0.21143,1.0,6e-06,d2,sseK3,gene-SL1344_1928
SL1344_2738,2,0.17858,1.0,6e-06,d2,SL1344_2738,gene-SL1344_2738
SL1344_2628,2,0.24011,1.0,6e-06,d2,aroF,gene-SL1344_2628
SL1344_0685,1,0.2177,1.0,6e-06,d2,kdpD,gene-SL1344_0685
SL1344_2675,1,0.22469,1.0,6e-06,d2,SL1344_2675,gene-SL1344_2675
SL1344_2425,2,0.2592,1.0,6e-06,d2,eutJ,gene-SL1344_2425
SL1344_1600,3,0.0015833,1.0,0.552593,d2,SL1344_1600,gene-SL1344_1600
SL1344_3174,2,0.34839,1.0,6e-06,d2,glnE,gene-SL1344_3174
SL1344_0520,1,0.22889,1.0,6e-06,d2,allC,gene-SL1344_0520
SL1344_1472,1,0.22823,1.0,6e-06,d2,SL1344_1472,gene-SL1344_1472
SL1344_P2_0012,4,0.30082,5.3e-05,6e-06,d2,cib,gene-SL1344_P2_0012
SL1344_2950,1,0.2282,1.0,6e-06,d2,sdaC,gene-SL1344_2950
SL1344_1457,2,0.080547,1.0,0.413708,d2,SL1344_1457,gene-SL1344_1457
SL1344_0419,1,0.23037,1.0,6e-06,d2,thiI,gene-SL1344_0419
SL1344_1616,1,0.231,1.0,6e-06,d2,pspE,gene-SL1344_1616
SL1344_2537,1,0.23146,1.0,6e-06,d2,SL1344_2537,gene-SL1344_2537
SL1344_0286A,1,0.23604,1.0,6e-06,d2,SL1344_0286A,gene-SL1344_0286A
SL1344_3955,1,0.23699,1.0,6e-06,d2,typA,gene-SL1344_3955
SL1344_0115,4,0.33377,1.0,6e-06,d2,leuO,gene-SL1344_0115
SL1344_3566,1,0.24106,1.0,6e-06,d2,SL1344_3566,gene-SL1344_3566
SL1344_P2_0102,2,0.10944,1.0,0.413708,d2,traB,gene-SL1344_P2_0102
SL1344_0246,1,0.24244,1.0,6e-06,d2,metQ,gene-SL1344_0246
SL1344_1328,3,0.29235,1.0,6e-06,d2,ssaC,gene-SL1344_1328
SL1344_2365,2,0.19965,1.0,6e-06,d2,pgtB,gene-SL1344_2365
SL1344_0705,1,0.24404,1.0,6e-06,d2,SL1344_0705,gene-SL1344_0705
SL1344_2762,1,0.24403,1.0,6e-06,d2,iroN,gene-SL1344_2762
SL1344_4501,1,0.24408,1.0,6e-06,d2,SL1344_4501,gene-SL1344_4501
SL1344_3031,1,0.2447,1.0,6e-06,d2,gcvT,gene-SL1344_3031
SL1344_1519,2,0.20269,1.0,6e-06,d2,yncC,gene-SL1344_1519
SL1344_0836,1,0.24736,1.0,6e-06,d2,SL1344_0836,gene-SL1344_0836
SL1344_2850,1,0.24762,1.0,6e-06,d2,orgA,gene-SL1344_2850
SL1344_4468,5,-0.26306,5.3e-05,1.0,d2,SL1344_4468,gene-SL1344_4468
SL1344_4297,2,0.17591,1.0,6e-06,d2,hflK,gene-SL1344_4297
SL1344_2433,1,0.25304,1.0,6e-06,d2,eutS,gene-SL1344_2433
SL1344_0965,2,0.23083,1.0,6e-06,d2,gtgA,gene-SL1344_0965
SL1344_0336,1,0.25363,1.0,6e-06,d2,SL1344_0336,gene-SL1344_0336
SL1344_2384,2,0.4184,1.0,6e-06,d2,xapB,gene-SL1344_2384
SL1344_3143,1,0.2544,1.0,6e-06,d2,SL1344_3143,gene-SL1344_3143
SL1344_3768,1,0.25485,1.0,6e-06,d2,dsdC,gene-SL1344_3768
SL1344_0213,2,0.33073,1.0,6e-06,d2,SL1344_0213,gene-SL1344_0213
SL1344_0192,1,0.25807,1.0,6e-06,d2,fhuA,gene-SL1344_0192
SL1344_1502,1,0.26058,1.0,6e-06,d2,yddG,gene-SL1344_1502
SL1344_2954,1,0.26099,1.0,6e-06,d2,fucA,gene-SL1344_2954
SL1344_3228,1,0.26468,1.0,6e-06,d2,SL1344_3228,gene-SL1344_3228
SL1344_P2_0078,3,0.18032,1.0,6e-06,d2,traF,gene-SL1344_P2_0078
SL1344_3934,5,0.68183,5.3e-05,6e-06,d2,SL1344_3934,gene-SL1344_3934
SL1344_0834,2,0.26375,1.0,6e-06,d2,SL1344_0834,gene-SL1344_0834
SL1344_0468,1,0.26621,1.0,6e-06,d2,acrB,gene-SL1344_0468
SL1344_2127,4,0.19057,1.0,6e-06,d2,stcC,gene-SL1344_2127
SL1344_1315,2,0.38285,1.0,6e-06,d2,orf245,gene-SL1344_1315
SL1344_2756,1,0.27061,1.0,6e-06,d2,fljB,gene-SL1344_2756
SL1344_1349,1,0.27611,1.0,6e-06,d2,ssaN,gene-SL1344_1349
SL1344_P2_0009,2,0.15769,1.0,0.413708,d2,yafA,gene-SL1344_P2_0009
SL1344_1289,1,0.27733,1.0,6e-06,d2,ydiP,gene-SL1344_1289
SL1344_1049,1,0.27979,1.0,6e-06,d2,SL1344_1049,gene-SL1344_1049
SL1344_0999,1,0.28071,1.0,6e-06,d2,ycbW,gene-SL1344_0999
SL1344_1325,2,0.18876,1.0,6e-06,d2,ssrB,gene-SL1344_1325
SL1344_1628,2,0.22849,1.0,6e-06,d2,steC,gene-SL1344_1628
SL1344_1012,1,0.28582,1.0,6e-06,d2,sxy,gene-SL1344_1012
SL1344_0599,1,0.28751,1.0,6e-06,d2,SL1344_0599,gene-SL1344_0599
SL1344_2966,3,0.51943,1.0,6e-06,d2,SL1344_2966,gene-SL1344_2966
SL1344_0648,1,0.29011,1.0,6e-06,d2,hscC,gene-SL1344_0648
SL1344_1598,2,0.29502,1.0,6e-06,d2,SL1344_1598,gene-SL1344_1598
SL1344_1563,2,0.32337,1.0,6e-06,d2,SL1344_1563,gene-SL1344_1563
SL1344_2088,1,0.29232,1.0,6e-06,d2,wcaE,gene-SL1344_2088
SL1344_1079,1,0.29471,1.0,6e-06,d2,csgD,gene-SL1344_1079
SL1344_1864,3,0.35951,1.0,6e-06,d2,araH,gene-SL1344_1864
SL1344_1846,1,0.29526,1.0,6e-06,d2,SL1344_1846,gene-SL1344_1846
SL1344_0299,2,0.27488,1.0,6e-06,d2,ybeJ,gene-SL1344_0299
SL1344_1560,2,0.20756,1.0,6e-06,d2,SL1344_1560,gene-SL1344_1560
SL1344_0838,1,0.29537,1.0,6e-06,d2,yliJ,gene-SL1344_0838
SL1344_0256,1,0.29705,1.0,6e-06,d2,gloB,gene-SL1344_0256
SL1344_1316,2,0.15475,1.0,0.413708,d2,orf408,gene-SL1344_1316
SL1344_1077,1,0.29607,1.0,6e-06,d2,csgF,gene-SL1344_1077
SL1344_1982,1,0.29542,1.0,6e-06,d2,SL1344_1982,gene-SL1344_1982
SL1344_2078,3,0.29033,1.0,6e-06,d2,wcaK,gene-SL1344_2078
SL1344_P2_0089,2,0.23311,1.0,6e-06,d2,pilR,gene-SL1344_P2_0089
SL1344_3224,1,0.29921,1.0,6e-06,d2,SL1344_3224,gene-SL1344_3224
SL1344_P2_0049,1,0.30179,1.0,6e-06,d2,nikB,gene-SL1344_P2_0049
SL1344_1075,1,0.3017,1.0,6e-06,d2,ycdZ,gene-SL1344_1075
SL1344_0573,1,0.30498,1.0,6e-06,d2,fepA,gene-SL1344_0573
SL1344_0784,5,0.49143,1.0,6e-06,d2,ybhM,gene-SL1344_0784
SL1344_2209,2,0.40114,1.0,6e-06,d2,SL1344_2209,gene-SL1344_2209
SL1344_3724,1,0.30966,1.0,6e-06,d2,fidL,gene-SL1344_3724
SL1344_2714,1,0.31025,1.0,6e-06,d2,SL1344_2714,gene-SL1344_2714
SL1344_1639,1,0.3128,1.0,6e-06,d2,pyrF,gene-SL1344_1639
SL1344_4434,2,0.30749,1.0,6e-06,d2,SL1344_4434,gene-SL1344_4434
SL1344_0862,1,0.31141,1.0,6e-06,d2,SL1344_0862,gene-SL1344_0862
SL1344_0991,1,0.31265,1.0,6e-06,d2,sseI,gene-SL1344_0991
SL1344_0035,1,0.31348,1.0,6e-06,d2,SL1344_0035,gene-SL1344_0035
SL1344_1326,2,0.16929,1.0,0.413708,d2,ssrA,gene-SL1344_1326
SL1344_2165,1,0.31458,1.0,6e-06,d2,mglC,gene-SL1344_2165
SL1344_3681,1,0.31363,1.0,6e-06,d2,rfaZ,gene-SL1344_3681
SL1344_2124,1,0.31646,1.0,6e-06,d2,thiM,gene-SL1344_2124
SL1344_4397,3,0.21812,1.0,6e-06,d2,SL1344_4397,gene-SL1344_4397
SL1344_3473,1,0.32348,1.0,6e-06,d2,feoB,gene-SL1344_3473
SL1344_2218,2,0.41989,1.0,6e-06,d2,SL1344_2218,gene-SL1344_2218
SL1344_2956,1,0.32589,1.0,6e-06,d2,fucI,gene-SL1344_2956
SL1344_0993,1,0.33174,1.0,6e-06,d2,SL1344_0993,gene-SL1344_0993
SL1344_2731,2,0.54853,1.0,6e-06,d2,SL1344_2731,gene-SL1344_2731
SL1344_0831,1,0.32537,1.0,6e-06,d2,SL1344_0831,gene-SL1344_0831
SL1344_3222,1,0.32731,1.0,6e-06,d2,garL,gene-SL1344_3222
SL1344_1970,1,0.33028,1.0,6e-06,d2,SL1344_1970,gene-SL1344_1970
SL1344_2043,4,0.47557,1.0,6e-06,d2,sopA,gene-SL1344_2043
SL1344_0790,1,0.33171,1.0,6e-06,d2,ybhQ,gene-SL1344_0790
SL1344_2311,1,0.33262,1.0,6e-06,d2,SL1344_2311,gene-SL1344_2311
SL1344_0160,2,0.31994,1.0,6e-06,d2,SL1344_0160,gene-SL1344_0160
SL1344_1460,1,0.33452,1.0,6e-06,d2,hypA,gene-SL1344_1460
SL1344_0557,2,0.24666,1.0,6e-06,d2,ybdG,gene-SL1344_0557
SL1344_1343,1,0.33557,1.0,6e-06,d2,ssaJ,gene-SL1344_1343
SL1344_3637,1,0.33379,1.0,6e-06,d2,yiaN,gene-SL1344_3637
SL1344_0712,1,0.3398,1.0,6e-06,d2,gltA,gene-SL1344_0712
SL1344_1477,1,0.3407,1.0,6e-06,d2,SL1344_1477,gene-SL1344_1477
SL1344_3363,1,0.34127,1.0,6e-06,d2,acrE,gene-SL1344_3363
SL1344_1400,1,0.34198,1.0,6e-06,d2,fumC,gene-SL1344_1400
SL1344_2115,1,0.34356,1.0,6e-06,d2,SL1344_2115,gene-SL1344_2115
SL1344_1800,2,0.36593,1.0,6e-06,d2,mig-3,gene-SL1344_1800
SL1344_3847,1,0.34826,1.0,6e-06,d2,kup,gene-SL1344_3847
SL1344_1309,1,0.34438,1.0,6e-06,d2,ynhG,gene-SL1344_1309
SL1344_4520,2,0.24423,1.0,6e-06,d2,sthB,gene-SL1344_4520
SL1344_2256,1,0.34573,1.0,6e-06,d2,sseL,gene-SL1344_2256
SL1344_1929,4,0.31856,1.0,6e-06,d2,SL1344_1929,gene-SL1344_1929
SL1344_4012,1,0.34384,1.0,6e-06,d2,sbp,gene-SL1344_4012
SL1344_2767,1,0.34746,1.0,6e-06,d2,nixA,gene-SL1344_2767
SL1344_2864,1,0.34789,1.0,6e-06,d2,sipB,gene-SL1344_2864
SL1344_1677,1,0.3501,1.0,6e-06,d2,oppA,gene-SL1344_1677
SL1344_2076,3,0.37094,1.0,6e-06,d2,wcaM,gene-SL1344_2076
SL1344_1340,2,0.28056,1.0,6e-06,d2,ssaG,gene-SL1344_1340
SL1344_P2_0071,1,0.34849,1.0,6e-06,d2,sogL,gene-SL1344_P2_0071
SL1344_0098,1,0.34954,1.0,6e-06,d2,polB,gene-SL1344_0098
SL1344_0988,1,0.34978,1.0,6e-06,d2,SL1344_0988,gene-SL1344_0988
SL1344_3096,1,0.3526,1.0,6e-06,d2,SL1344_3096,gene-SL1344_3096
SL1344_2772,1,0.35598,1.0,6e-06,d2,SL1344_2772,gene-SL1344_2772
SL1344_1307,1,0.35618,1.0,6e-06,d2,sufS,gene-SL1344_1307
SL1344_P2_0087,5,0.059419,1.0,6e-06,d2,pilT,gene-SL1344_P2_0087
SL1344_2313,1,0.35786,1.0,6e-06,d2,SL1344_2313,gene-SL1344_2313
SL1344_1597,1,0.36003,1.0,6e-06,d2,SL1344_1597,gene-SL1344_1597
SL1344_P1_0010,1,0.36173,1.0,6e-06,d2,traG,gene-SL1344_P1_0010
SL1344_P2_0056,6,0.25988,1.0,6e-06,d2,traY,gene-SL1344_P2_0056
SL1344_4255,1,0.36172,1.0,6e-06,d2,phoN,gene-SL1344_4255
SL1344_P2_0088,3,0.50205,1.0,6e-06,d2,pilS,gene-SL1344_P2_0088
SL1344_P2_0090,2,0.30272,1.0,6e-06,d2,pilQ,gene-SL1344_P2_0090
SL1344_P1_0016,1,0.36488,1.0,6e-06,d2,traN,gene-SL1344_P1_0016
SL1344_3455,1,0.36985,1.0,6e-06,d2,comE,gene-SL1344_3455
