Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
mobA,7,-1.21,5.9999999999999995e-05,1.0,d1
SL1344_4468,5,-0.57045,5.9999999999999995e-05,1.0,d1
rfaG,2,-6.1692,5.9999999999999995e-05,1.0,d1
rfaB,4,-1.1347,5.9999999999999995e-05,1.0,d1
hilD,3,-0.46586000000000005,5.9999999999999995e-05,1.0,d1
rfaI,2,-4.498,5.9999999999999995e-05,1.0,d1
FQ312003.1:4202047,2,-5.3020000000000005,5.9999999999999995e-05,1.0,d1
rfaP,2,-3.3584,5.9999999999999995e-05,1.0,d1
pilT,5,-0.43373999999999996,0.001827,1.0,d1
strB,5,-0.7944399999999999,0.001827,1.0,d1
traY,7,-0.25105,0.025616000000000003,0.97005,d1
rfbH,2,-2.5896,5.9999999999999995e-05,1.0,d1
gor,2,-2.2777,5.9999999999999995e-05,1.0,d1
rfaC,1,-4.3493,5.9999999999999995e-05,1.0,d1
rfaL,2,-1.4802,5.9999999999999995e-05,1.0,d1
rfbP,2,-1.9825,5.9999999999999995e-05,1.0,d1
pilP,5,-0.18161,0.03921,1.0,d1
pilU,5,-0.35036,0.03921,0.97005,d1
rfaF,1,-5.1976,5.9999999999999995e-05,1.0,d1
pilL,3,-0.46385,0.055263,1.0,d1
cib,4,-0.30108,0.007745999999999999,1.0,d1
cpsB2,2,-0.9514100000000001,5.9999999999999995e-05,1.0,d1
yafB,3,-0.35655,0.055263,1.0,d1
traH,4,-0.21941,0.168468,1.0,d1
dcuS,2,-0.88133,5.9999999999999995e-05,1.0,d1
pepA,1,-4.547,5.9999999999999995e-05,1.0,d1
spvR,3,-0.31238,0.055263,1.0,d1
HE654725.1:43463,2,-0.69347,5.9999999999999995e-05,1.0,d1
fimW,2,-0.42883999999999994,5.9999999999999995e-05,1.0,d1
ptsI,1,-4.9343,5.9999999999999995e-05,1.0,d1
exc,2,-0.5159,5.9999999999999995e-05,1.0,d1
SL1344_3500,1,-3.5961,5.9999999999999995e-05,1.0,d1
yebC,1,-4.0893,5.9999999999999995e-05,1.0,d1
hypD,1,-3.1733,5.9999999999999995e-05,1.0,d1
traB,2,-0.34485,5.9999999999999995e-05,1.0,d1
FQ312003.1:4173783,1,-2.6137,5.9999999999999995e-05,1.0,d1
pilS,3,-0.13323,0.055263,1.0,d1
yafA,2,-0.47498,0.239168,1.0,d1
prgH,1,-3.7114,5.9999999999999995e-05,1.0,d1
aph(3'')-Ib,1,-2.2523,5.9999999999999995e-05,1.0,d1
pilR,2,-0.32174,0.239168,1.0,d1
rfbA,1,-3.2113,5.9999999999999995e-05,1.0,d1
rfbV,1,-1.9576,5.9999999999999995e-05,1.0,d1
cpxA,1,-1.9893,5.9999999999999995e-05,1.0,d1
invJ,2,-0.19776,0.239168,1.0,d1
aroA,1,-2.2141,5.9999999999999995e-05,1.0,d1
xerD,1,-2.6835,5.9999999999999995e-05,1.0,d1
SL1344_1567,4,-0.21431999999999998,0.168468,1.0,d1
SL1344_P3_0006,1,-1.4416,5.9999999999999995e-05,1.0,d1
rfbD,1,-1.3276,5.9999999999999995e-05,1.0,d1
pilQ,2,-0.24519000000000002,0.239168,1.0,d1
rfaQ,1,-1.4476,5.9999999999999995e-05,1.0,d1
SL1344_3227,3,-0.2066,0.41926499999999994,1.0,d1
rfbX,1,-2.4282,5.9999999999999995e-05,1.0,d1
SL1344_2698,5,-0.097814,0.312156,1.0,d1
gshB,1,-2.1462,5.9999999999999995e-05,1.0,d1
traA,3,-0.42418999999999996,0.41926499999999994,1.0,d1
yagA,4,-0.30354000000000003,0.168468,1.0,d1
repA,1,-1.7514,5.9999999999999995e-05,1.0,d1
phoB,1,-1.1523,5.9999999999999995e-05,1.0,d1
stcC,4,-0.25017,0.168468,1.0,d1
FQ312003.1:2438813,1,-1.2716,5.9999999999999995e-05,1.0,d1
spvB,2,-0.27169,0.239168,1.0,d1
rbsR,1,-1.1827,5.9999999999999995e-05,1.0,d1
sipA,4,-0.093798,0.168468,1e-05,d1
SL1344_1929,4,-0.18331,0.168468,1.0,d1
yjgF,1,-1.0219,5.9999999999999995e-05,1.0,d1
ychF,1,-1.9124,5.9999999999999995e-05,1.0,d1
SL1344_4017,1,-1.012,5.9999999999999995e-05,1.0,d1
sseJ,3,-0.21691,0.41926499999999994,1.0,d1
alr-b,1,-1.161,5.9999999999999995e-05,1.0,d1
moaB,1,-1.7412,5.9999999999999995e-05,1.0,d1
yeiH,1,-0.97882,5.9999999999999995e-05,1.0,d1
yjfQ,1,-0.7901699999999999,5.9999999999999995e-05,1.0,d1
pgi,1,-0.96696,5.9999999999999995e-05,1.0,d1
FQ312003.1:3041449,1,-1.1248,5.9999999999999995e-05,1.0,d1
sapA,1,-1.7266,5.9999999999999995e-05,1.0,d1
aroF,2,-0.20763,0.239168,1.0,d1
SL1344_4239,1,-0.58708,5.9999999999999995e-05,1.0,d1
HE654725.1:82874,1,-0.38647,5.9999999999999995e-05,1.0,d1
SL1344_2738,2,-0.1555,0.239168,1.0,d1
slyD,1,-0.47923999999999994,5.9999999999999995e-05,1.0,d1
SL1344_0846,1,-0.76725,5.9999999999999995e-05,1.0,d1
rfbI,1,-1.0844,5.9999999999999995e-05,1.0,d1
SL1344_4467,1,-0.8580399999999999,5.9999999999999995e-05,1.0,d1
feoB,1,-0.41538,5.9999999999999995e-05,1.0,d1
HE654725.1:12137,1,-0.64636,5.9999999999999995e-05,1.0,d1
uvrD,1,-0.74778,5.9999999999999995e-05,1.0,d1
siiB,2,-0.13122999999999999,0.239168,1.0,d1
relA,1,-0.4185,5.9999999999999995e-05,1.0,d1
rnfD,1,-0.70586,5.9999999999999995e-05,1.0,d1
dcuR,1,-0.5886399999999999,5.9999999999999995e-05,1.0,d1
SL1344_2881,1,-0.60078,5.9999999999999995e-05,1.0,d1
nsrR,1,-0.89294,5.9999999999999995e-05,1.0,d1
HE654725.1:43038,1,-0.2263,5.9999999999999995e-05,1.0,d1
sipB,1,-0.28984,5.9999999999999995e-05,1.0,d1
HE654725.1:85869,1,-0.43085,5.9999999999999995e-05,1.0,d1
yggX,1,-0.33705,5.9999999999999995e-05,1.0,d1
gtgE,2,-0.051787,0.239168,1.0,d1
HE654725.1:67895,1,-0.46903999999999996,5.9999999999999995e-05,1.0,d1
rffA,1,-0.56118,5.9999999999999995e-05,1.0,d1
HE654724.1:9897,1,-0.26791,5.9999999999999995e-05,1.0,d1
hilC,2,-0.080361,0.239168,1e-05,d1
HE654725.1:12122,1,-0.47008,5.9999999999999995e-05,1.0,d1
pilK,1,-0.59867,5.9999999999999995e-05,1.0,d1
ssb,1,-0.2565,5.9999999999999995e-05,1.0,d1
glgB,1,-0.17507,5.9999999999999995e-05,1.0,d1
spvC,1,-0.49385,5.9999999999999995e-05,1.0,d1
SL1344_0544,1,-0.54537,5.9999999999999995e-05,1.0,d1
sipC,4,-0.033727,0.41926499999999994,1e-05,d1
SL1344_P1_0023,1,-0.39315,5.9999999999999995e-05,1.0,d1
rfaY,1,-0.50759,5.9999999999999995e-05,1.0,d1
HE654725.1:43729,1,-0.10285,5.9999999999999995e-05,1.0,d1
ybbM,2,-0.12957,0.239168,1.0,d1
proA,2,-0.43622,0.239168,1.0,d1
yhhQ,2,-0.057805999999999996,0.239168,1.0,d1
spaP,4,-0.053202,0.41926499999999994,0.960405,d1
lysC,1,-0.29844,0.41926499999999994,0.97005,d1
yncC,2,-0.2051,0.239168,1.0,d1
HE654724.1:76100,1,-0.48181999999999997,0.41926499999999994,0.97005,d1
HE654725.1:4839,1,-0.24925999999999998,0.41926499999999994,0.97005,d1
HE654724.1:33037,1,-0.11412,0.41926499999999994,0.97005,d1
SL1344_3230,1,-0.26223,0.41926499999999994,0.97005,d1
siiD,3,-0.17107,0.41926499999999994,1e-05,d1
sbp,1,-0.11285999999999999,0.41926499999999994,0.97005,d1
yebA,1,-0.29420999999999997,0.41926499999999994,0.97005,d1
traF,5,-0.17021,0.492486,0.97005,d1
steC,2,-0.25674,0.239168,1.0,d1
SL1344_3224,1,-0.25101999999999997,0.41926499999999994,0.97005,d1
glgP,1,-0.15773,0.41926499999999994,0.97005,d1
shfB,1,-0.0026308000000000004,0.41926499999999994,0.97005,d1
pspB,1,-0.22509,0.41926499999999994,0.97005,d1
SL1344_1560,2,-0.24336,0.239168,1.0,d1
HE654724.1:34695,1,-0.18509,0.41926499999999994,0.97005,d1
ssaQ,2,-0.10916,0.239168,1.0,d1
gcvP,1,-0.13758,0.41926499999999994,0.97005,d1
iolG1,2,-0.037187,0.239168,1.0,d1
HE654724.1:61100,1,-0.30201999999999996,0.41926499999999994,0.97005,d1
yaiU,3,-0.06296399999999999,0.41926499999999994,1.0,d1
FQ312003.1:4222770,1,-0.46878000000000003,0.41926499999999994,0.97005,d1
avtA,1,-0.28053,0.41926499999999994,0.97005,d1
HE654724.1:80480,1,-0.22000999999999998,0.41926499999999994,0.97005,d1
HE654725.1:65967,1,-0.28934,0.41926499999999994,0.97005,d1
SL1344_0834,2,-0.15659,0.239168,1.0,d1
SL1344_3112,5,-0.051989999999999995,0.521972,1e-05,d1
yafD,1,-0.34673000000000004,0.41926499999999994,0.97005,d1
HE654724.1:33819,1,-0.45078,0.41926499999999994,0.97005,d1
HE654724.1:66758,1,-0.20545,0.41926499999999994,0.97005,d1
SL1344_1600,3,-0.33563000000000004,0.41926499999999994,1.0,d1
artI,1,-0.40918000000000004,0.41926499999999994,0.97005,d1
yabN,1,-0.21828000000000003,0.41926499999999994,0.97005,d1
HE654724.1:61307,1,-0.34255,0.41926499999999994,0.97005,d1
FQ312003.1:1841339,1,-0.33124000000000003,0.41926499999999994,0.97005,d1
shfC,1,-0.33041,0.41926499999999994,0.97005,d1
FQ312003.1:3071039,1,-0.06314199999999999,0.41926499999999994,0.97005,d1
HE654724.1:77636,1,-0.21636,0.41926499999999994,0.97005,d1
HE654724.1:65682,1,-0.11909000000000002,0.41926499999999994,0.97005,d1
SL1344_4418,2,-0.067551,0.239168,1.0,d1
traR,1,-0.19814,0.41926499999999994,0.97005,d1
sanA,1,-0.6819,0.41926499999999994,0.97005,d1
HE654724.1:74212,1,-0.34718000000000004,0.41926499999999994,0.97005,d1
FQ312003.1:340985,1,-0.41948,0.41926499999999994,0.97005,d1
sogL,1,-0.08329,0.41926499999999994,0.97005,d1
SL1344_1713,2,-0.24611,0.239168,1.0,d1
SL1344_2220,1,-0.2194,0.41926499999999994,0.97005,d1
pefA,1,-0.45593,0.41926499999999994,0.97005,d1
FQ312003.1:3543590,1,-0.15766,0.41926499999999994,0.97005,d1
allD,1,-0.1643,0.41926499999999994,0.97005,d1
FQ312003.1:362022,1,-0.073986,0.41926499999999994,0.97005,d1
SL1344_2327,2,-0.12624000000000002,0.239168,1.0,d1
yffH,1,-0.21191999999999997,0.41926499999999994,0.97005,d1
FQ312003.1:1949749,1,-0.09271,0.41926499999999994,0.97005,d1
emrD,1,-0.34055,0.41926499999999994,0.97005,d1
FQ312003.1:3439090,1,-0.11193,0.41926499999999994,0.97005,d1
FQ312003.1:4820164,1,-0.42562,0.41926499999999994,0.97005,d1
SL1344_3228,1,-0.23306,0.41926499999999994,0.97005,d1
traQ,1,-0.28092,0.41926499999999994,0.97005,d1
sthB,2,-0.071313,0.239168,1.0,d1
spvD,2,-0.13068,0.239168,1.0,d1
HE654724.1:66661,1,-0.28975,0.41926499999999994,0.97005,d1
SL1344_0032,1,-0.020467,0.41926499999999994,0.97005,d1
traE,4,-0.1112,0.41926499999999994,0.960405,d1
SL1344_3564,2,-0.036613,0.239168,1.0,d1
FQ312003.1:436972,1,-0.29968,0.41926499999999994,0.97005,d1
ugtL,2,-0.32666999999999996,0.239168,1.0,d1
apt,1,-0.44906,0.41926499999999994,0.97005,d1
FQ312003.1:336749,1,-0.00486,0.41926499999999994,0.97005,d1
ssaD,4,-0.083639,0.41926499999999994,0.960405,d1
sopE2,2,-0.084303,0.239168,1.0,d1
FQ312003.1:2336876,1,-0.29712,0.41926499999999994,0.97005,d1
proV,1,-0.14559,0.41926499999999994,0.97005,d1
nrfD,1,-0.19787000000000002,0.41926499999999994,0.97005,d1
rlgA2,1,-0.22979000000000002,0.41926499999999994,0.97005,d1
SL1344_1551,5,-0.09613300000000001,0.521972,1e-05,d1
FQ312003.1:2930220,1,-0.029733999999999997,0.41926499999999994,0.97005,d1
SL1344_3499,1,-0.47276,0.41926499999999994,0.97005,d1
FQ312003.1:377926,1,-0.1042,0.41926499999999994,0.97005,d1
mltC,1,-0.074388,0.41926499999999994,0.97005,d1
FQ312003.1:4617196,1,-0.17035999999999998,0.41926499999999994,0.97005,d1
HE654725.1:67891,1,-0.12079000000000001,0.41926499999999994,0.97005,d1
ssrB,2,-0.24818,0.646672,1.0,d1
FQ312003.1:1716385,1,-0.29072,0.41926499999999994,0.97005,d1
ychM,2,-0.58314,0.646672,0.97005,d1
nrdE,1,-0.2262,0.41926499999999994,0.97005,d1
FQ312003.1:866073,1,-0.18505,0.41926499999999994,0.97005,d1
HE654725.1:43580,1,-0.34452,0.41926499999999994,0.97005,d1
acrB,1,-0.15292999999999998,0.41926499999999994,0.97005,d1
FQ312003.1:2073102,1,-0.23598000000000002,0.41926499999999994,0.97005,d1
FQ312003.1:135857,1,-0.21058000000000002,0.41926499999999994,0.97005,d1
fruA,1,-0.13022999999999998,0.41926499999999994,0.97005,d1
SL1344_4394,1,-0.093464,0.41926499999999994,0.97005,d1
SL1344_4501,1,-0.10912000000000001,0.41926499999999994,0.97005,d1
traN,1,-0.22805999999999998,0.41926499999999994,0.97005,d1
nixA,1,-0.2015,0.41926499999999994,0.97005,d1
FQ312003.1:350139,1,-0.033024,0.41926499999999994,0.97005,d1
SL1344_3229,1,-0.26500999999999997,0.41926499999999994,0.97005,d1
srgA,1,-0.13727999999999999,0.41926499999999994,0.97005,d1
FQ312003.1:2813017,1,-0.26038,0.41926499999999994,0.97005,d1
HE654724.1:75008,1,-0.10955,0.41926499999999994,0.97005,d1
nhaA,1,-0.46273000000000003,0.41926499999999994,0.97005,d1
pduA,2,-0.07406599999999999,0.646672,1.0,d1
FQ312003.1:1136303,1,-0.31825,0.41926499999999994,0.97005,d1
prpR,1,-0.036768,0.41926499999999994,0.97005,d1
SL1344_3896,1,-0.05049,0.41926499999999994,0.97005,d1
pilV,3,-0.1916,0.41926499999999994,0.79591,d1
SL1344_2935,2,-0.1523,0.646672,1.0,d1
gip,1,-0.27146,0.41926499999999994,0.97005,d1
pldA,1,-0.055845000000000006,0.41926499999999994,0.97005,d1
nikB,1,-0.21881,0.41926499999999994,0.97005,d1
FQ312003.1:2576904,1,-0.29375,0.41926499999999994,0.97005,d1
FQ312003.1:3304398,1,-0.10794000000000001,0.41926499999999994,0.97005,d1
rffD,1,-0.099522,0.41926499999999994,0.97005,d1
hilA,4,0.066887,0.41926499999999994,1e-05,d1
sciK,1,-0.10385,0.41926499999999994,0.97005,d1
SL1344_0862,1,-0.084953,0.41926499999999994,0.97005,d1
yhjV,6,0.091022,0.646672,1e-05,d1
SL1344_0831,1,-0.031726,0.41926499999999994,0.97005,d1
FQ312003.1:1284161,1,-0.24206999999999998,0.41926499999999994,0.97005,d1
SL1344_2702,1,-0.047353,0.41926499999999994,0.97005,d1
SL1344_3092,3,-0.084677,0.41926499999999994,1e-05,d1
SL1344_1457,2,-0.20368,0.646672,1.0,d1
FQ312003.1:4457468,1,-0.031205,0.41926499999999994,0.97005,d1
FQ312003.1:116226,1,-0.1487,0.41926499999999994,0.97005,d1
FQ312003.1:1990061,1,-0.10194,0.41926499999999994,0.97005,d1
sciK1,1,-0.074461,0.41926499999999994,0.97005,d1
SL1344_2163,2,-0.020759,0.646672,1.0,d1
FQ312003.1:350107,1,-0.0015689999999999999,0.41926499999999994,0.97005,d1
tehB,1,-0.29381999999999997,0.41926499999999994,0.97005,d1
SL1344_0213,2,-0.13932999999999998,0.646672,1.0,d1
SL1344_1970,1,-0.012466,0.41926499999999994,0.97005,d1
fucA,1,-0.13430999999999998,0.41926499999999994,0.97005,d1
iroN,1,-0.10375,0.41926499999999994,0.97005,d1
FQ312003.1:1290383,1,-0.27835,0.41926499999999994,0.97005,d1
ygaE,1,-0.095312,0.41926499999999994,0.97005,d1
SL1344_0273,1,-0.11823,0.41926499999999994,0.97005,d1
FQ312003.1:3657737,1,-0.090541,0.41926499999999994,0.97005,d1
SL1344_1048,1,-0.24606999999999998,0.41926499999999994,0.97005,d1
hflK,2,-0.14744000000000002,0.646672,1.0,d1
yigN,1,-0.025894999999999998,0.41926499999999994,0.97005,d1
SL1344_0739,2,-0.22028000000000003,0.646672,1.0,d1
trbA,1,-0.036427999999999995,0.41926499999999994,0.97005,d1
yiaN,1,-0.078075,0.41926499999999994,0.97005,d1
pgtB,2,-0.1453,0.646672,1.0,d1
xapB,2,-0.21789,0.646672,1.0,d1
SL1344_1472,1,-0.24936,0.41926499999999994,0.97005,d1
ycdZ,1,-0.10238,0.41926499999999994,0.97005,d1
SL1344_1203,1,-0.2262,0.41926499999999994,0.97005,d1
fljB,1,-0.11498,0.41926499999999994,0.97005,d1
HE654724.1:62694,1,-0.15912,0.41926499999999994,0.97005,d1
FQ312003.1:1398926,2,-0.19293,0.646672,1.0,d1
STnc440,1,-0.016349000000000002,0.41926499999999994,0.97005,d1
SL1344_1982,1,-0.021543,0.41926499999999994,0.97005,d1
FQ312003.1:116344,1,-0.072703,0.41926499999999994,0.97005,d1
tdcC,1,-0.079774,0.41926499999999994,0.97005,d1
FQ312003.1:2928432,2,-0.074681,0.646672,1.0,d1
lpfA,1,-0.01197,0.41926499999999994,0.97005,d1
ybgJ,1,-0.16036,0.41926499999999994,0.97005,d1
FQ312003.1:4731738,1,-0.07535800000000001,0.41926499999999994,0.97005,d1
pgtE,2,-0.095164,0.646672,1.0,d1
ssaS,1,-0.12305,0.41926499999999994,0.97005,d1
yceG,1,-0.27979,0.41926499999999994,0.97005,d1
SL1344_0861,1,-0.1373,0.41926499999999994,0.97005,d1
yaeE,1,-0.37634,0.41926499999999994,0.97005,d1
yojN,1,-0.04167,0.41926499999999994,0.97005,d1
yaiV,1,-0.20265999999999998,0.41926499999999994,0.97005,d1
FQ312003.1:1680498,1,-0.42336999999999997,0.41926499999999994,0.97005,d1
SL1344_0704,1,-0.12217,0.41926499999999994,0.97005,d1
FQ312003.1:347893,2,-0.27016,0.646672,1.0,d1
sseBa,1,-0.39421999999999996,0.41926499999999994,0.97005,d1
traL,1,-0.15072,0.41926499999999994,0.97005,d1
FQ312003.1:590790,1,-0.10909,0.41926499999999994,0.97005,d1
FQ312003.1:3109025,2,-0.040222,0.646672,1.0,d1
SL1344_4397,3,-0.013874000000000001,0.802473,1e-05,d1
rfaZ,1,-0.086688,0.41926499999999994,0.97005,d1
FQ312003.1:603197,1,-0.065177,0.41926499999999994,0.97005,d1
FQ312003.1:2113176,1,-0.13507,0.41926499999999994,0.97005,d1
ssrA,2,-0.26265,0.646672,1.0,d1
FQ312003.1:924937,1,-0.017072,0.41926499999999994,0.97005,d1
SL1344_1588,1,-0.12013,0.41926499999999994,0.97005,d1
SL1344_0286A,1,-0.10324000000000001,0.41926499999999994,0.97005,d1
SL1344_0952,1,-0.15641,0.41926499999999994,0.97005,d1
allP,2,0.013278,0.646672,1e-05,d1
FQ312003.1:4110870,1,-0.051881,0.41926499999999994,0.97005,d1
HE654724.1:79496,1,-0.20177,0.41926499999999994,0.97005,d1
gcvT,1,-0.1265,0.41926499999999994,0.97005,d1
SL1344_3116,1,-0.11108,0.41926499999999994,0.97005,d1
FQ312003.1:390460,1,-0.08509299999999999,0.41926499999999994,0.97005,d1
STnc1470,1,-0.050526999999999996,0.41926499999999994,0.97005,d1
virK,4,-0.030496,0.46516899999999994,1e-05,d1
SL1344_0982,1,-0.27757,0.41926499999999994,0.97005,d1
SL1344_2536,1,-0.10349000000000001,0.41926499999999994,0.97005,d1
orgB,1,-0.18041,0.41926499999999994,0.97005,d1
FQ312003.1:1290406,1,-0.040681999999999996,0.41926499999999994,0.97005,d1
vgrS,1,-0.045919,0.41926499999999994,0.97005,d1
smpA,1,-0.16443,0.41926499999999994,0.97005,d1
FQ312003.1:617665,1,-0.13195,0.41926499999999994,0.97005,d1
dcoA,1,-0.17182,0.41926499999999994,0.97005,d1
kdpD,1,-0.012921,0.41926499999999994,0.97005,d1
flgA,1,-0.17982,0.41926499999999994,0.97005,d1
SL1344_4151,2,-0.029204,0.646672,1e-05,d1
SL1344_0043,4,0.00096681,0.46516899999999994,1e-05,d1
FQ312003.1:1327890,1,-0.26965,0.41926499999999994,0.97005,d1
SL1344_2250,1,-0.069053,0.41926499999999994,0.97005,d1
polB,1,-0.012725,0.41926499999999994,0.97005,d1
IsrC,1,-0.0095885,0.41926499999999994,0.97005,d1
SL1344_0599,1,-0.14469,0.41926499999999994,0.97005,d1
ssaC,3,-0.089013,0.802473,1e-05,d1
mig-3,3,-0.14431,0.802473,1e-05,d1
fucI,1,-0.097447,0.41926499999999994,0.97005,d1
rhlB,1,-0.30038000000000004,0.41926499999999994,0.97005,d1
FQ312003.1:2594732,1,-0.10580999999999999,0.41926499999999994,0.97005,d1
FQ312003.1:2421918,1,-0.076924,0.41926499999999994,0.97005,d1
FQ312003.1:2223537,1,-0.10228,0.41926499999999994,0.97005,d1
FQ312003.1:292228,1,-0.25149,0.41926499999999994,0.97005,d1
msrA,1,-0.030201,0.41926499999999994,0.97005,d1
ynaI,1,-0.214,0.41926499999999994,0.97005,d1
ssaL,2,-0.099962,0.646672,1e-05,d1
rimI,1,-0.37014,0.41926499999999994,0.97005,d1
yeeX,1,-0.42596000000000006,0.41926499999999994,0.97005,d1
fhuB,1,-0.018668,0.41926499999999994,0.97005,d1
traJ,3,0.037828,0.802473,1e-05,d1
SL1344_1599,1,-0.6986100000000001,0.41926499999999994,0.97005,d1
SL1344_2599,1,-0.06592,0.41926499999999994,0.97005,d1
traS,1,-0.058925,0.41926499999999994,0.97005,d1
sufS,1,-0.18305,0.41926499999999994,0.97005,d1
envF,1,-0.17303,0.41926499999999994,0.97005,d1
FQ312003.1:783815,1,-0.024108,0.41926499999999994,0.97005,d1
traT,4,-0.089553,0.46516899999999994,0.960405,d1
FQ312003.1:1676146,1,-0.1296,0.41926499999999994,0.97005,d1
pilO,3,-0.00028619,0.802473,0.79591,d1
FQ312003.1:189442,1,-0.07729,0.41926499999999994,0.97005,d1
SL1344_0741,1,-0.37523,0.41926499999999994,0.97005,d1
SL1344_3099,2,-0.10605,0.646672,0.583914,d1
SL1344_0502,1,-0.020569,0.41926499999999994,0.97005,d1
SL1344_1794,1,-0.2536,0.41926499999999994,0.97005,d1
wcaE,1,-0.085793,0.41926499999999994,0.97005,d1
SL1344_0029,2,0.092766,0.646672,1e-05,d1
sadA,1,-0.044910000000000005,0.41926499999999994,0.97005,d1
FQ312003.1:1365005,1,-0.19228,0.41926499999999994,0.97005,d1
FQ312003.1:428322,1,-0.056667999999999996,0.41926499999999994,0.97005,d1
SL1344_2221,1,-0.23675,0.41926499999999994,0.97005,d1
ydiP,1,-0.08622300000000001,0.41926499999999994,0.97005,d1
SL1344_2741,1,-0.077646,0.41926499999999994,0.97005,d1
SL1344_0705,1,-0.11888,0.41926499999999994,0.97005,d1
FQ312003.1:1177683,1,-0.017605000000000003,0.41926499999999994,0.97005,d1
FQ312003.1:2112955,1,-0.14667,0.41926499999999994,0.97005,d1
SL1344_0035,1,-0.09228,0.41926499999999994,0.97005,d1
SL1344_2214,1,-0.19105,0.41926499999999994,0.97005,d1
eutS,1,-0.20897,0.41926499999999994,0.97005,d1
sipD,2,-0.0027300999999999996,0.646672,1e-05,d1
FQ312003.1:2949121,1,-0.01141,0.41926499999999994,0.97005,d1
ssaV,2,-0.10117000000000001,0.646672,1e-05,d1
SL1344_2311,1,-0.093598,0.41926499999999994,0.97005,d1
rmbA,3,0.18899000000000002,0.802473,1e-05,d1
FQ312003.1:370710,1,-0.048135000000000004,0.41926499999999994,0.97005,d1
FQ312003.1:3901356,1,-0.027436000000000002,0.41926499999999994,0.97005,d1
FQ312003.1:2729620,1,-0.16247,0.41926499999999994,0.97005,d1
ygiW,1,-0.004139899999999999,0.41926499999999994,0.97005,d1
FQ312003.1:1920728,1,-0.091043,0.41926499999999994,0.97005,d1
FQ312003.1:337052,1,-0.0073042,0.41926499999999994,0.97005,d1
oppA,1,-0.080711,0.41926499999999994,0.97005,d1
FQ312003.1:945329,1,-0.14396,0.41926499999999994,0.97005,d1
csgF,1,-0.042924000000000004,0.41926499999999994,0.97005,d1
FQ312003.1:927790,1,-0.14273,0.41926499999999994,0.97005,d1
dsdC,1,-0.11865,0.41926499999999994,0.97005,d1
SL1344_2675,1,-0.021574,0.41926499999999994,0.97005,d1
ssaP,1,-0.15475,0.41926499999999994,0.97005,d1
FQ312003.1:209286,1,-0.12109,0.41926499999999994,0.97005,d1
STM2208,1,-0.044797000000000003,0.41926499999999994,0.97005,d1
SL1344_1344,1,-0.12401,0.41926499999999994,0.97005,d1
sciF,1,-0.18875999999999998,0.41926499999999994,0.97005,d1
SL1344_1067,1,-0.10088,0.41926499999999994,0.97005,d1
yjdB,3,0.1298,0.802473,1e-05,d1
pipB,4,-0.00089942,0.957332,0.960405,d1
typA,1,-0.034064,0.41926499999999994,0.97005,d1
fucP,2,-0.0094913,0.646672,0.583914,d1
sseF,5,-0.098623,0.521972,1e-05,d1
pagO,1,-0.066353,0.41926499999999994,0.97005,d1
FQ312003.1:4041324,1,-0.24675,0.41926499999999994,0.97005,d1
ssaN,1,-0.20592,0.41926499999999994,0.97005,d1
yehU,1,-0.21104,0.41926499999999994,0.97005,d1
FQ312003.1:784149,1,-0.082488,0.41926499999999994,0.97005,d1
SL1344_1563,2,-0.059986000000000005,0.646672,1e-05,d1
yedE,1,-0.16981,0.41926499999999994,0.97005,d1
SL1344_0833,3,-0.036255,0.802473,1e-05,d1
FQ312003.1:1351710,1,-0.27281,0.41926499999999994,0.97005,d1
FQ312003.1:1316994,1,-0.11045999999999999,0.41926499999999994,0.97005,d1
dcuB,1,-1.3199,0.41926499999999994,0.97005,d1
SL1344_3263,1,-0.05991900000000001,0.41926499999999994,0.97005,d1
yddG,1,-0.17160999999999998,0.41926499999999994,0.97005,d1
ynhG,1,-0.054672000000000005,0.41926499999999994,0.97005,d1
traV,3,0.12849000000000002,0.802473,1e-05,d1
yeaB,1,-0.12707000000000002,0.41926499999999994,0.97005,d1
SL1344_P1_0036,3,-0.19185,0.802473,1e-05,d1
yhfL,3,0.032253,0.802473,1e-05,d1
sseK3,1,-0.18252000000000002,0.41926499999999994,0.97005,d1
SL1344_1778,1,-0.27949,0.41926499999999994,0.97005,d1
hypA,1,-0.09893099999999999,0.41926499999999994,0.97005,d1
FQ312003.1:3312771,1,-0.0533,0.41926499999999994,0.97005,d1
FQ312003.1:2953510,1,-0.050399,0.41926499999999994,0.97005,d1
ycbW,1,-0.097947,0.41926499999999994,0.97005,d1
aroG,1,-0.22935999999999998,0.41926499999999994,0.97005,d1
hscC,1,-0.040947000000000004,0.41926499999999994,0.97005,d1
pagN,4,-0.005097,0.957332,1e-05,d1
ssaT,1,-0.007462600000000001,0.41926499999999994,0.97005,d1
stiC,1,-0.010329999999999999,0.41926499999999994,0.97005,d1
srfC,1,-0.039601,0.41926499999999994,0.97005,d1
SL1344_4523,1,-0.005313399999999999,0.41926499999999994,0.97005,d1
dpaL,1,-0.026558,0.41926499999999994,0.97005,d1
pspE,1,-0.10997,0.41926499999999994,0.97005,d1
FQ312003.1:906453,1,-0.037574,0.41926499999999994,0.97005,d1
SL1344_2115,1,-0.071001,0.41926499999999994,0.97005,d1
phoN,1,-0.13324,0.41926499999999994,0.97005,d1
