Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
SL1344_0739,2,-0.33610999999999996,0.8287690000000001,0.9693139999999999,d2
SL1344_1982,1,-0.11955999999999999,0.569258,0.9267129999999999,d2
fucP,2,-0.029805,0.8287690000000001,0.9693139999999999,d2
sciK,1,-0.16595,0.569258,0.9267129999999999,d2
SL1344_2702,1,-0.11317,0.569258,0.9267129999999999,d2
FQ312003.1:1365005,1,-0.38328,0.569258,0.9267129999999999,d2
ssaD,4,-0.097037,1.0,9e-06,d2
FQ312003.1:924937,1,-0.13082,0.569258,0.9267129999999999,d2
pldA,1,-0.09997,0.569258,0.9267129999999999,d2
FQ312003.1:866073,1,-0.18141,0.569258,0.9267129999999999,d2
FQ312003.1:350139,1,-0.051136,0.569258,0.9267129999999999,d2
SL1344_4151,2,-0.12309,0.8287690000000001,0.9693139999999999,d2
fucA,1,-0.21044000000000002,0.569258,0.9267129999999999,d2
HE654725.1:65967,1,-0.12659,0.569258,0.9267129999999999,d2
nhaA,1,-0.5151100000000001,0.569258,0.9267129999999999,d2
rimI,1,-0.5403100000000001,0.569258,0.9267129999999999,d2
shfC,1,-0.20360999999999999,0.569258,0.9267129999999999,d2
FQ312003.1:292228,1,-0.40438,0.569258,0.9267129999999999,d2
FQ312003.1:370710,1,-0.21973,0.569258,0.9267129999999999,d2
FQ312003.1:1290383,1,-0.3465,0.569258,0.9267129999999999,d2
FQ312003.1:3181262,1,-0.080734,0.569258,0.9267129999999999,d2
SL1344_1794,1,-0.41731,0.569258,0.9267129999999999,d2
ssaL,2,-0.18639,0.8287690000000001,9e-06,d2
iroN,1,-0.15992,0.569258,0.9267129999999999,d2
yigN,1,-0.07948200000000001,0.569258,0.9267129999999999,d2
FQ312003.1:1284161,1,-0.28544,0.569258,0.9267129999999999,d2
FQ312003.1:1920728,1,-0.2602,0.569258,0.9267129999999999,d2
HE654725.1:4839,1,-0.0018545000000000002,0.569258,0.9267129999999999,d2
gpsA,1,-0.75046,0.569258,0.9267129999999999,d2
SL1344_1472,1,-0.31371,0.569258,0.9267129999999999,d2
FQ312003.1:3439090,1,-0.014263,0.569258,0.9267129999999999,d2
SL1344_0213,2,-0.19139,1.0,0.922414,d2
FQ312003.1:135857,1,-0.20301,0.569258,0.9267129999999999,d2
FQ312003.1:1131846,1,-0.005128,0.569258,0.9267129999999999,d2
SL1344_2163,2,-0.09092599999999999,1.0,0.922414,d2
FQ312003.1:783815,1,-0.15374000000000002,0.569258,0.9267129999999999,d2
SL1344_0952,1,-0.24578000000000003,0.569258,0.9267129999999999,d2
SL1344_0862,1,-0.1028,0.569258,0.9267129999999999,d2
FQ312003.1:436972,1,-0.23589000000000002,0.569258,0.9267129999999999,d2
ssrB,2,-0.2411,1.0,0.922414,d2
ycdZ,1,-0.14883,0.569258,0.9267129999999999,d2
HE654724.1:77636,1,-0.058316999999999994,0.569258,0.9267129999999999,d2
HE654724.1:66661,1,-0.20829,0.569258,0.9267129999999999,d2
FQ312003.1:2576904,1,-0.31708000000000003,0.569258,0.9267129999999999,d2
polB,1,-0.11349000000000001,0.569258,0.9267129999999999,d2
SL1344_1457,2,-0.24464,1.0,0.922414,d2
tehB,1,-0.33304,0.569258,0.9267129999999999,d2
pduA,2,-0.087662,1.0,0.922414,d2
SL1344_0831,1,-0.040649,0.569258,0.9267129999999999,d2
